-----------------------------------------
| author                        | count |
| "Luo, H."                     | 2     |
| "Pfretzschner, H. U."         | 2     |
| "de Rafelis, M."              | 3     |
| "Poinar, G."                  | 5     |
| "WILSON, J. A."               | 2     |
| "Gunnell, Y."                 | 2     |
| "Aretz, M."                   | 2     |
| "Lopez-Gomez, J."             | 2     |
| "Jorissen, F. J."             | 2     |
| "Ghienne, J. F."              | 2     |
| "Matsubara, T."               | 2     |
| "Schweitzer, C. E."           | 4     |
| "Sander, P. M."               | 3     |
| "Keller, G. R."               | 3     |
| "Nel, A."                     | 6     |
| "Godefroit, P."               | 6     |
| "Adatte, T."                  | 2     |
| "Young, G. A."                | 2     |
| "Fuchs, D."                   | 5     |
| "Peigne, S."                  | 2     |
| "Liu, Q."                     | 5     |
| "Donato, M."                  | 2     |
| "Fatka, O."                   | 2     |
| "Pelosi, P."                  | 2     |
| "Laughland, M. M."            | 4     |
| "Jacques, F. M."              | 2     |
| "Buchner, J."                 | 2     |
| "Mackness, B."                | 2     |
| "Arche, A."                   | 2     |
| "Bassi, D."                   | 3     |
| "Kapilima, S."                | 2     |
| "Mao, Y.-q."                  | 2     |
| "Parent, H."                  | 3     |
| "BRADDY, S. J."               | 2     |
| "Smellie, J. L."              | 3     |
| "ORTEGA-HERNANDEZ, J."        | 2     |
| "Debenay, J. P."              | 2     |
| "SANTOS, A."                  | 2     |
| "Roth-Nebelsick, A."          | 2     |
| "Gong, Y.-m."                 | 2     |
| "Jin, J."                     | 3     |
| "Jacobs, L.L."                | 3     |
| "Currano, E. D."              | 2     |
| "McCartney, K."               | 3     |
| "Rigby, J. K."                | 2     |
| "Li, X."                      | 2     |
| "Beard, K.C."                 | 3     |
| "KETCHUM, H. F."              | 2     |
| "Biakov, A. S."               | 2     |
| "Simpson, E."                 | 3     |
| "Legalov, A. A."              | 3     |
| "Danelian, T."                | 2     |
| "Kurochkin, E. N."            | 4     |
| "Werne, J. P."                | 3     |
| "Baceta, J. I."               | 2     |
| "Kurkin, A. A."               | 2     |
| "Castaneda, I. S."            | 2     |
| "Brower, J.C."                | 2     |
| "Poore, R. Z."                | 2     |
| "Lei, Q."                     | 2     |
| "Yazdi, M."                   | 3     |
| "Warner, R. D."               | 2     |
| "FREDIN, O."                  | 2     |
| "Schmiedl, G."                | 2     |
| "Chen, X."                    | 2     |
| "Li, G."                      | 2     |
| "Wilmsen, M."                 | 2     |
| "Schindler, E."               | 4     |
| "Agnihotri, D."               | 2     |
| "Kawahata, H."                | 3     |
| "Martin, T."                  | 2     |
| "Huang, B."                   | 2     |
| "Wang, Y.-Q."                 | 5     |
| "Bucur, I. I."                | 2     |
| "BUATOIS, L. A."              | 2     |
| "Gardin, S."                  | 3     |
| "Loser, H."                   | 3     |
| "Tang, P."                    | 3     |
| "Gordenko, N. V."             | 2     |
| "Khlystov, O. M."             | 2     |
| "Hua, H."                     | 2     |
| "Wang, B.-Y."                 | 2     |
| "Gupta, A. K."                | 2     |
| "Rodrigues, T."               | 4     |
| "Suguio, K."                  | 2     |
| "Eiriksson, J."               | 3     |
| "KLUG, C."                    | 2     |
| "Xu, X."                      | 2     |
| "Cetean, C.G."                | 2     |
| "Keupp, H."                   | 2     |
| "Verleye, T. J."              | 2     |
| "Sato, T."                    | 4     |
| "Talbot, M. R."               | 3     |
| "Johnsson, M. J."             | 3     |
| "Archer, M."                  | 3     |
| "Zammit, M."                  | 2     |
| "Takai, M."                   | 4     |
| "Tanabe, K."                  | 2     |
| "Schouten, S."                | 2     |
| "Bugdaeva, E. V."             | 2     |
| "Thewissen, J.G.M."           | 2     |
| "Dupont-Nivet, G."            | 2     |
| "ZHANG, J."                   | 2     |
| "Mazurier, A."                | 2     |
| "Di Geronimo, R."             | 2     |
| "KAMMER, T. W."               | 2     |
| "Hess, H."                    | 3     |
| "Baumann, K. H."              | 4     |
| "Ma, X.-p."                   | 3     |
| "Bernardi, M."                | 2     |
| "Becker, R. T."               | 2     |
| "Viccini, L.F."               | 2     |
| "Taheri, A."                  | 2     |
| "Wanamaker, A. D."            | 4     |
| "Laurin, M."                  | 2     |
| "Black, K."                   | 2     |
| "Oji, T."                     | 2     |
| "de Bonis, L."                | 2     |
| "Hunter, S. J."               | 2     |
| "Guipert, G."                 | 2     |
| "Matthews, T."                | 2     |
| "Haga, T."                    | 2     |
| "Hann, H. P."                 | 2     |
| "Palfy, J."                   | 3     |
| "Cather, S. M."               | 2     |
| "Rasmusson, E. L."            | 2     |
| "van den Hoek Ostende, L.W. " | 2     |
| "Whitlock, C."                | 3     |
| "Alvaro, J. J."               | 2     |
| "Li, C.-K."                   | 4     |
| "Yang, L."                    | 2     |
| "Buggisch, W."                | 2     |
| "Jain, U."                    | 3     |
| "Ragland, P. C."              | 3     |
| "Kim, J.-K."                  | 2     |
| "Gibb, S."                    | 3     |
| "Yan, E. V."                  | 2     |
| "Viohl, G."                   | 2     |
| "Joachimski, M. M."           | 3     |
| "Sial, A. N."                 | 3     |
| "Valentini, M."               | 2     |
| "Gaillard, C."                | 2     |
| "Wang, Y. J."                 | 2     |
| "Zack, T."                    | 2     |
| "Golovneva, L. B."            | 4     |
| "Mayr, G."                    | 5     |
| "Bettis, E. A."               | 2     |
| "Hori, R. S."                 | 3     |
| "Kaminski, M.A."              | 4     |
| "Elias, R. J."                | 2     |
| "Shah, U.H."                  | 2     |
| "Hospitaleche, C. A."         | 3     |
| "Erslev, E. A."               | 2     |
| "Hoffmann, R."                | 2     |
| "Leven, E. J."                | 2     |
| "Currie, P.J."                | 2     |
| "Willard, D. A."              | 2     |
| "Kroger, B."                  | 4     |
| "GUEX, J."                    | 2     |
| "Kroeger, K. F."              | 2     |
| "Fraaije, R.H.B."             | 2     |
| "Namuth, D."                  | 2     |
| "Du, S.-x."                   | 2     |
| "Nara, M."                    | 3     |
| "Torricelli, S."              | 2     |
| "Holliday, V. T."             | 2     |
| "Grenfell, H. R."             | 2     |
| "Nalin, R."                   | 2     |
| "Kurita, H."                  | 2     |
| "Ippolito, J."                | 5     |
| "Grossman, E. L."             | 2     |
| "Soreghan, M. J."             | 2     |
| "Wilson, M.A."                | 2     |
| "Guichard, F."                | 2     |
| "Mapes, R.H."                 | 2     |
| "Nespoulet, R."               | 2     |
| "Graeff, F. G."               | 2     |
| "Shi, G. R."                  | 5     |
| "Fosse, P."                   | 2     |
| "Altiner, D."                 | 2     |
| "Molinaroli, E."              | 2     |
| "Puffer, J. H."               | 2     |
| "Lee, D.-G."                  | 2     |
| "Martinez, S.A."              | 2     |
| "BENNIKE, O."                 | 4     |
| "Janvier, P."                 | 2     |
| "Lockley, M."                 | 3     |
| "Rice, C. L."                 | 6     |
| "Schone, B. R."               | 3     |
| "Bernasconi, S. M."           | 2     |
| "Faure, M."                   | 2     |
| "Peel, J.S."                  | 2     |
| "Yans, J."                    | 2     |
| "Mannik, P."                  | 2     |
| "Smith, C. J."                | 2     |
| "Arnaud-Vanneau, A."          | 2     |
| "Meng, J."                    | 5     |
| "Marzouk, A. M."              | 2     |
| "Ronchi, A."                  | 3     |
| "Shigeta, Y."                 | 3     |
| "Naugolnykh, S. V."           | 2     |
| "Whatley, R."                 | 2     |
| "Rakowicz, L."                | 2     |
| "Hao, W.-C."                  | 2     |
| "Morner, P."                  | 5     |
| "Guerin, C."                  | 7     |
| "Laza, J. H."                 | 2     |
| "Hikida, Y."                  | 2     |
| "Botquelen, A."               | 2     |
| "Balter, V."                  | 2     |
| "Zalasiewicz, J."             | 2     |
| "Diedrich, C."                | 4     |
| "Dabard, M. P."               | 3     |
| "Zhu, R."                     | 2     |
| "Incarbona, A."               | 2     |
| "Wappler, T."                 | 2     |
| "Fielding, C. R."             | 2     |
| "Lockley, M. G."              | 2     |
| "Perez, L. M."                | 2     |
| "Benedito, E."                | 2     |
| "Deutsch, A."                 | 2     |
| "Zaton, M."                   | 4     |
| "Mackensen, A."               | 3     |
| "Hagadorn, J.W."              | 2     |
| "El Hajraoui, M. A."          | 2     |
| "de Lumley, H."               | 2     |
| "Tekin, U. K."                | 2     |
| "Missiaen, P."                | 3     |
| "Merle, D."                   | 2     |
| "AHLBERG, P."                 | 4     |
| "Agnolin, F.L."               | 2     |
| "Pospelova, V."               | 3     |
| "DeSantis, M. K."             | 2     |
| "Bojar, A. V."                | 3     |
| "Quillevere, F."              | 2     |
| "Giusberti, L."               | 2     |
| "Renaud, S."                  | 2     |
| "Knudsen, K. L."              | 2     |
| "Yu, J."                      | 2     |
| "Genovese, P. W."             | 2     |
| "Kaim, A."                    | 3     |
| "Veres, D."                   | 2     |
| "Weyer, D."                   | 2     |
| "Jasper, A."                  | 3     |
| "Kool, L."                    | 2     |
| "Scourse, J. D."              | 2     |
| "Averianov, A. O."            | 3     |
| "Walker, R. J."               | 2     |
| "Tseng, Z.J."                 | 3     |
| "Pickering, S. J."            | 2     |
| "Nicora, A."                  | 3     |
| "Woodard, H. J."              | 4     |
| "Shukla, U. K."               | 2     |
| "Saber, H."                   | 3     |
| "Kakegawa, T."                | 2     |
| "Ruta, M."                    | 2     |
| "Grigorescu, D."              | 8     |
| "Schemm-Gregory, M."          | 3     |
| "Hain, P."                    | 2     |
| "Girty, M. S."                | 2     |
| "PATERSON, J. R."             | 2     |
| "Raisbeck, G. M."             | 2     |
| "Marino, M."                  | 2     |
| "Ushatinskaya, G. T."         | 2     |
| "Vinn, O."                    | 7     |
| "Mackizadeh, M.A. "           | 3     |
| "Berner, Z."                  | 2     |
| "Rossignol, L."               | 2     |
| "Choi, D.K."                  | 2     |
| "BENTON, M. J."               | 3     |
| "Angiolini, L."               | 2     |
| "Kitazato, H."                | 2     |
| "Sano, H."                    | 2     |
| "Weishampel, D. B."           | 3     |
| "Kostak, M."                  | 2     |
| "Quinn, T. M."                | 3     |
| "Ebbighausen, V."             | 5     |
| "Peters, D."                  | 2     |
| "Hu, S.-x."                   | 2     |
| "Syabryaj, S."                | 2     |
| "Schweizer, M."               | 2     |
| "Taylor, P. D."               | 2     |
| "Paris, F."                   | 3     |
| "Gonzalez, L. A."             | 2     |
| "Del-Ben, C. M."              | 2     |
| "Eronen, J. T."               | 2     |
| "Bajpai, S."                  | 3     |
| "Hably, L."                   | 4     |
| "Nishimura, T."               | 2     |
| "Joshi, M."                   | 3     |
| "Azanza, B."                  | 2     |
| "Girone, A."                  | 2     |
| "Gunnell, G.F."               | 3     |
| "Jacob, D. E."                | 3     |
| "Hminna, A."                  | 3     |
| "Sanchez-Vidal, A."           | 2     |
| "Vavra, N."                   | 2     |
| "Bond, D. P."                 | 2     |
| "Gand, G."                    | 2     |
| "Abbassi, N."                 | 2     |
| "Mattioli, E."                | 4     |
| "Droser, M. L."               | 2     |
| "Johnson, A. L."              | 3     |
| "Ouchaou, B."                 | 2     |
| "Kelson, K. I."               | 2     |
| "Matsushita, M."              | 2     |
| "Raveendran, K."              | 2     |
| "Tomasovych, A."              | 2     |
| "Walia, S.S."                 | 2     |
| "Arthur, J. D."               | 2     |
| "Scheibner, C."               | 2     |
| "Wilde, V."                   | 3     |
| "Avanzini, M."                | 4     |
| "Nutzel, A."                  | 4     |
| "McCallister, D."             | 5     |
| "Isbell, J. L."               | 2     |
| "Xue, J.-z."                  | 2     |
| "Schwarzhans, W."             | 2     |
| "Dybkjaer, K."                | 2     |
| "Gomez, J. J."                | 2     |
| "Burnham, D. A."              | 2     |
| "Perez-Claros, J.A."          | 2     |
| "Weil, A."                    | 2     |
| "Zhu, Y. X."                  | 2     |
| "Yan, X."                     | 2     |
| "YATES, A. M."                | 2     |
| "Rakus, M."                   | 2     |
| "Gerber, S."                  | 2     |
| "Sharma, V.K."                | 3     |
| "Deng, C."                    | 2     |
| "Fiorillo, A. R."             | 3     |
| "Spofforth, D. J."            | 2     |
| "Deng, T."                    | 3     |
| "Tomkin, J. H."               | 2     |
| "Tong, J."                    | 5     |
| "Qin, Q."                     | 2     |
| "Song, C."                    | 2     |
| "Senter, P."                  | 2     |
| "Vaziri-Moghaddam, H."        | 2     |
| "Stinnesbeck, W."             | 6     |
| "Popov, L."                   | 2     |
| "Boulbes, N."                 | 2     |
| "Mostafawi, N."               | 2     |
| "Santi, G."                   | 2     |
| "Manabe, M."                  | 2     |
| "Nikolaeva, S. V."            | 2     |
| "Rinehart, L. F."             | 2     |
| "Megard, R. O."               | 2     |
| "Hammond, R. H."              | 3     |
| "Guerra-Sommer, M."           | 4     |
| "Carnevale, G."               | 2     |
| "Chen, X.-h."                 | 2     |
| "Vajda, V."                   | 3     |
| "Hill, D. J."                 | 4     |
| "Ran, L."                     | 2     |
| "Friedman, G. M."             | 2     |
| "Collette, J.H."              | 3     |
| "Feng, Q. L."                 | 2     |
| "Lettis, W. R."               | 4     |
| "Troth, I."                   | 2     |
| "Nelson, A. E."               | 2     |
| "Gong, E."                    | 2     |
| "Tang, L."                    | 2     |
| "Gordon Gastil, R."           | 3     |
| "Dreimanis, A."               | 2     |
| "Bourquin, S."                | 2     |
| "Delfino, M."                 | 4     |
| "Bruch, A. A."                | 7     |
| "Trenkwalder, S."             | 2     |
| "Saltzman, M. R."             | 2     |
| "Pemberton, S. G."            | 4     |
| "Wings, O."                   | 3     |
| "Li, C. S."                   | 4     |
| "Francis, C. A."              | 2     |
| "Nosova, N. V."               | 2     |
| "Wang, H."                    | 3     |
| "Dias-da-Silva, S."           | 2     |
| "Nichols, D. J."              | 2     |
| "Rozhnov, S. V."              | 2     |
| "Payne, J.L."                 | 3     |
| "KAIM, A."                    | 2     |
| "Dong, X."                    | 2     |
| "Cleal, C. J."                | 2     |
| "Tabor, N. J."                | 3     |
| "Zhou, Z."                    | 3     |
| "Witzmann, F."                | 2     |
| "Siebel, W."                  | 2     |
| "Bambach, R.K."               | 2     |
| "Anderson, R. R."             | 2     |
| "Chauhan, M."                 | 2     |
| "Wooden, J. L."               | 2     |
| "LITTLE, C. T."               | 2     |
| "Li, C."                      | 4     |
| "Wang, Y."                    | 16    |
| "Schiavetti, A."              | 2     |
| "Krijgsman, W."               | 4     |
| "Michel, E."                  | 2     |
| "Jurkiewicz, A."              | 2     |
| "Zhao, Y.-l."                 | 6     |
| "Leng, M. J."                 | 6     |
| "BARBER, K. E."               | 2     |
| "Prokin, A. A."               | 2     |
| "Kang, S. M."                 | 2     |
| "Lirer, F."                   | 3     |
| "Tarkalson, D."               | 2     |
| "WAGNER, B."                  | 3     |
| "Frank, T. D."                | 2     |
| "Kumar, A."                   | 2     |
| "Lamanna, M.C. "              | 3     |
| "Claeson, K. M."              | 2     |
| "Judson May, S."              | 2     |
| "Evans, J. P."                | 3     |
| "Bashforth, A. R."            | 2     |
| "Bottjer, D. J."              | 3     |
| "Stuiver, M."                 | 2     |
| "Peng, S."                    | 2     |
| "Boulila, S."                 | 2     |
| "Gupta, S."                   | 2     |
| "Sunderlin, D."               | 2     |
| "Lagnaoui, A."                | 2     |
| "Wang, X.-M."                 | 2     |
| "Kalpana, G.V."               | 2     |
| "Ma, J.-y."                   | 2     |
| "Sun, Y.-L."                  | 2     |
| "Santos, R.V."                | 2     |
| "Dutta, P. K."                | 3     |
| "Retallack, G. J."            | 5     |
| "Hints, O."                   | 2     |
| "MENZIES, J."                 | 2     |
| "Kucera, M."                  | 2     |
| "Molnar, P."                  | 2     |
| "Codrea, V."                  | 5     |
| "Watabe, M."                  | 3     |
| "Hargraves, R. B."            | 2     |
| "Matsuoka, A."                | 3     |
| "Huh, M."                     | 5     |
| "Dong, W."                    | 2     |
| "Weems, R. E."                | 3     |
| "Macluf, C."                  | 2     |
| "Seyed-Emami, K."             | 2     |
| "Angelone, C."                | 5     |
| "Brook, E. J."                | 2     |
| "Erba, E."                    | 2     |
| "Dulai, A."                   | 2     |
| "Dommergues, J.-L."           | 2     |
| "Wu, X.-C."                   | 2     |
| "Dumitrica, P."               | 2     |
| "Kiessling, W."               | 2     |
| "Bockwinkel, J."              | 3     |
| "ANTCLIFFE, J. B."            | 2     |
| "Sorauf, J. E."               | 3     |
| "Szentesi, Z."                | 2     |
| "Renesto, S."                 | 2     |
| "Slemmons, D. B."             | 3     |
| "He, X.-y."                   | 2     |
| "Aljinovic, D."               | 3     |
| "Montalti, D."                | 2     |
| "Isaji, S."                   | 2     |
| "Philippe, M."                | 2     |
| "Thebault, J."                | 2     |
| "BENSON, R. B."               | 2     |
| "Eynaud, F."                  | 2     |
| "Brusatte, S. L."             | 2     |
| "Yu, Z."                      | 2     |
| "Wright, H. E."               | 2     |
-----------------------------------------
