-----------------------------------------
| author                        | count |
| "Basinger, J. F."             | 2     |
| "Dubey, S.K."                 | 2     |
| "ARNOLD, L. J."               | 2     |
| "Zhou, C.-F."                 | 2     |
| "Debrenne, F."                | 2     |
| "Sousa, S.M."                 | 2     |
| "ENGELS, S."                  | 2     |
| "Fedorowski, J."              | 3     |
| "Ver Straeten, C. A."         | 2     |
| "Mohan, K."                   | 2     |
| "Kermack, D."                 | 2     |
| "ALEXANDERSON, H."            | 2     |
| "Hone, D.W.E."                | 3     |
| "Friis, E. M."                | 2     |
| "Hall, N. T."                 | 2     |
| "Herbig, H. G."               | 2     |
| "KRINGS, M."                  | 2     |
| "Nagy, J."                    | 2     |
| "Velichko, A. A."             | 2     |
| "Rosen, M. R."                | 2     |
| "Vickers-Rich, P."            | 3     |
| "Zhou, Z. Y."                 | 2     |
| "Nebelsick, J. H."            | 4     |
| "Zhang, Y.-Q."                | 2     |
| "Arsuaga, J. L."              | 2     |
| "LINDGREN, J."                | 2     |
| "Padian, K."                  | 2     |
| "Louwye, S."                  | 3     |
| "Amitrov, O. V."              | 3     |
| "Kumar, V."                   | 2     |
| "El-Hedeny, M. M."            | 3     |
| "Esu, D."                     | 2     |
| "Schoch, R.R."                | 6     |
| "Voigt, S."                   | 4     |
| "BIRKS, H. J."                | 4     |
| "BERNING, B."                 | 2     |
| "Salyards, S. L."             | 2     |
| "Goudemand, N."               | 2     |
| "Agusti, J."                  | 2     |
| "Jiang, S."                   | 2     |
| "Suzuki, A."                  | 2     |
| "Klompmaker, A.A."            | 2     |
| "Gorini, A."                  | 2     |
| "Yang, X.-l."                 | 2     |
| "CURRIE, P. J."               | 2     |
| "Bercovici, A."               | 2     |
| "Simpson, E. L."              | 3     |
| "Koeberl, C."                 | 3     |
| "Henry, L. C."                | 2     |
| "Fischer, J."                 | 2     |
| "Csiki, Z."                   | 9     |
| "Hetzinger, S."               | 4     |
| "Reitner, J."                 | 2     |
| "Yang, S."                    | 2     |
