--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| title                                                                                                                                                                                                                                                                                                                                                                | count |
| "Multigene phylogenetic analyses including diverse radiolarian species support the ''Retaria'' hypothesis - The sister relationship of Radiolaria and Foraminifera"                                                                                                                                                                                                  | 6     |
| "High occurrence of Orbulina suturalis and ''Praeorbulina-like specimens'' in sediments of the northern Arabian Sea during the Last Glacial Maximum"                                                                                                                                                                                                                 | 7     |
| "Last millennium environmental changes and climate inferences in the Southeastern Atlantic forest, Brazil"                                                                                                                                                                                                                                                           | 7     |
| "Early Triassic (Induan) Radiolaria and carbon-isotope ratios of a deep-sea sequence from Waiheke Island, North Island, New Zealand"                                                                                                                                                                                                                                 | 10    |
| "Why do foliar physiognomic climate estimates sometimes differ from those observed? Insights from taphonomic information loss and a CLAMP case study from the Ganges Delta"                                                                                                                                                                                          | 8     |
| "Inferred placoderm bite marks on Devonian crinoids from Poland. (With 3 figures)"                                                                                                                                                                                                                                                                                   | 8     |
| "Soil Genesis and Development, Lesson 5: Soil Classification and Geography"                                                                                                                                                                                                                                                                                          | 8     |
| "Conformational and Electronic Interaction Studies of Some β-Ketosulfoxides"                                                                                                                                                                                                                                                                                         | 6     |
| "High prevalence of unusual genotypes of Toxoplasma gondii infection in pork meat samples from Erechim, Southern Brazil"                                                                                                                                                                                                                                             | 9     |
| "Chronology and integrated stratigraphy of the Miocene Sinj Basin (Dinaride Lake System, Croatia)"                                                                                                                                                                                                                                                                   | 7     |
| "Miocene vegetation and climate dynamics in Eastern and Central Paratethys (Southeastern Europe)"                                                                                                                                                                                                                                                                    | 6     |
| "A multi-dating approach applied to proglacial sediments attributed to the Most Extensive Glaciation of the Swiss Alps"                                                                                                                                                                                                                                              | 7     |
| "A 370,000-year record of vegetation and fire history around Lake Titicaca (Bolivia/Peru)"                                                                                                                                                                                                                                                                           | 7     |
| "Detecting dryness and wetness signals from tree-rings in Shenyang, Northeast China"                                                                                                                                                                                                                                                                                 | 7     |
| "An Integrated Analysis of the Use of Woodstoves to Supplement Fossil Fuel-Fired Domestic Heating"                                                                                                                                                                                                                                                                   | 10    |
| "Angolatitan adamastor, a new sauropod dinosaur and the first record from Angola"                                                                                                                                                                                                                                                                                    | 8     |
| "Role of renin-angiotensin system in development of heart failure induced by myocardial infarction in rats"                                                                                                                                                                                                                                                          | 9     |
| "In vitro and in vivo antiproliferative activity of Calotropis procera stem extracts"                                                                                                                                                                                                                                                                                | 9     |
| "Organic geochemical records of environmental variability in Lake Malawi during the last 700 years, Part I: The TEX86 temperature record"                                                                                                                                                                                                                            | 7     |
| "Stable isotope composition of middle Miocene carbonates of the Frontal Cordillera and Sierras Pampeanas: Did the Paranaense seaway flood western and central Argentina?"                                                                                                                                                                                            | 6     |
| "Atlantic Water advection to the eastern Fram Strait - Multiproxy evidence for late Holocene variability"                                                                                                                                                                                                                                                            | 6     |
